site,month,surfWaterNitrateMean
LEWI,Jan,205.5
LEWI,Jan,205.8
LEWI,Jan,206.1
LEWI,Jan,206.3
LEWI,Jan,206.5
LEWI,Jan,206.7
LEWI,Jan,206.8
LEWI,Jan,206.9
LEWI,Jan,207
LEWI,Jan,207
LEWI,Jan,206.9
LEWI,Jan,206.9
LEWI,Jan,207
LEWI,Jan,207
LEWI,Jan,207.1
LEWI,Jan,207
LEWI,Jan,206.9
LEWI,Jan,207
LEWI,Jan,207
LEWI,Jan,206.9
LEWI,Jan,206.9
LEWI,Jan,206.8
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.9
LEWI,Jan,209.6
LEWI,Jan,212.3
LEWI,Jan,211.1
LEWI,Jan,202.9
LEWI,Jan,187.5
LEWI,Jan,183
LEWI,Jan,186.7
LEWI,Jan,192.4
LEWI,Jan,197.2
LEWI,Jan,200.1
LEWI,Jan,202.2
LEWI,Jan,203.2
LEWI,Jan,203.8
LEWI,Jan,204.3
LEWI,Jan,204.5
LEWI,Jan,204.7
LEWI,Jan,204.9
LEWI,Jan,205.3
LEWI,Jan,205.3
LEWI,Jan,205.3
LEWI,Jan,205.2
LEWI,Jan,205.2
LEWI,Jan,205.3
LEWI,Jan,205.2
LEWI,Jan,205.1
LEWI,Jan,205.2
LEWI,Jan,205.1
LEWI,Jan,205
LEWI,Jan,205
LEWI,Jan,204.8
LEWI,Jan,204.8
LEWI,Jan,204.8
LEWI,Jan,204.9
LEWI,Jan,204.9
LEWI,Jan,205.1
LEWI,Jan,205.3
LEWI,Jan,205.5
LEWI,Jan,205.4
LEWI,Jan,205.5
LEWI,Jan,205.6
LEWI,Jan,205.5
LEWI,Jan,205.9
LEWI,Jan,209.6
LEWI,Jan,211.5
LEWI,Jan,209.7
LEWI,Jan,197.5
LEWI,Jan,184.6
LEWI,Jan,182.1
LEWI,Jan,185.8
LEWI,Jan,190.7
LEWI,Jan,195.3
LEWI,Jan,199
LEWI,Jan,201.4
LEWI,Jan,203
LEWI,Jan,203.8
LEWI,Jan,204.2
LEWI,Jan,204.7
LEWI,Jan,205
LEWI,Jan,205.3
LEWI,Jan,205.5
LEWI,Jan,205.7
LEWI,Jan,205.8
LEWI,Jan,205.9
LEWI,Jan,205.8
LEWI,Jan,205.9
LEWI,Jan,205.9
LEWI,Jan,206.1
LEWI,Jan,206.2
LEWI,Jan,206.2
LEWI,Jan,206.2
LEWI,Jan,206.3
LEWI,Jan,206.3
LEWI,Jan,206.4
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.6
LEWI,Jan,206.7
LEWI,Jan,206.9
LEWI,Jan,207
LEWI,Jan,207
LEWI,Jan,207
LEWI,Jan,206.9
LEWI,Jan,207.1
LEWI,Jan,207.1
LEWI,Jan,207.2
LEWI,Jan,207.2
LEWI,Jan,207.3
LEWI,Jan,207.7
LEWI,Jan,212.1
LEWI,Jan,212.9
LEWI,Jan,210.7
LEWI,Jan,198.9
LEWI,Jan,185.3
LEWI,Jan,183.7
LEWI,Jan,188.6
LEWI,Jan,194.5
LEWI,Jan,198.9
LEWI,Jan,201.8
LEWI,Jan,203.7
LEWI,Jan,204.7
LEWI,Jan,205.2
LEWI,Jan,205.8
LEWI,Jan,206.1
