site,month,surfWaterTempMean
LEWI,Jan,8.383
LEWI,Jan,8.232
LEWI,Jan,8.058
LEWI,Jan,7.889
LEWI,Jan,7.754
LEWI,Jan,7.62
LEWI,Jan,7.291
LEWI,Jan,7.22
LEWI,Jan,7.043
LEWI,Jan,6.909
LEWI,Jan,6.797
LEWI,Jan,6.663
LEWI,Jan,6.493
LEWI,Jan,6.074
LEWI,Jan,5.871
LEWI,Jan,5.798
LEWI,Jan,5.746
LEWI,Jan,5.672
LEWI,Jan,5.59
LEWI,Jan,5.501
LEWI,Jan,5.417
LEWI,Jan,5.371
LEWI,Jan,5.275
LEWI,Jan,5.144
LEWI,Jan,5.106
LEWI,Jan,5.075
LEWI,Jan,4.954
LEWI,Jan,4.824
LEWI,Jan,4.746
LEWI,Jan,4.705
LEWI,Jan,4.732
LEWI,Jan,4.883
LEWI,Jan,5.134
LEWI,Jan,5.352
LEWI,Jan,5.539
LEWI,Jan,5.751
LEWI,Jan,5.99
LEWI,Jan,6.244
LEWI,Jan,6.493
LEWI,Jan,6.701
LEWI,Jan,6.839
LEWI,Jan,6.922
LEWI,Jan,7.002
LEWI,Jan,7.075
LEWI,Jan,7.122
LEWI,Jan,7.169
LEWI,Jan,7.192
LEWI,Jan,7.224
LEWI,Jan,7.247
LEWI,Jan,7.268
LEWI,Jan,7.283
LEWI,Jan,7.307
LEWI,Jan,7.345
LEWI,Jan,7.36
LEWI,Jan,7.382
LEWI,Jan,7.395
LEWI,Jan,7.411
LEWI,Jan,7.421
LEWI,Jan,7.412
LEWI,Jan,7.416
LEWI,Jan,7.422
LEWI,Jan,7.379
LEWI,Jan,7.329
LEWI,Jan,7.297
LEWI,Jan,7.248
LEWI,Jan,7.22
LEWI,Jan,7.217
LEWI,Jan,7.226
LEWI,Jan,7.179
LEWI,Jan,7.11
LEWI,Jan,7.094
LEWI,Jan,7.071
LEWI,Jan,7.037
LEWI,Jan,6.939
LEWI,Jan,6.818
LEWI,Jan,6.719
LEWI,Jan,6.652
LEWI,Jan,6.613
LEWI,Jan,6.628
LEWI,Jan,6.688
LEWI,Jan,6.728
LEWI,Jan,NA
LEWI,Jan,6.248
LEWI,Jan,6.871
LEWI,Jan,7.151
LEWI,Jan,7.443
LEWI,Jan,7.767
LEWI,Jan,7.999
LEWI,Jan,8.2
LEWI,Jan,8.325
LEWI,Jan,8.339
LEWI,Jan,8.315
LEWI,Jan,8.279
LEWI,Jan,8.188
LEWI,Jan,8.086
LEWI,Jan,7.95
LEWI,Jan,7.766
LEWI,Jan,7.587
LEWI,Jan,7.426
LEWI,Jan,7.272
LEWI,Jan,7.111
LEWI,Jan,6.949
LEWI,Jan,6.832
LEWI,Jan,6.67
LEWI,Jan,6.338
LEWI,Jan,6.043
LEWI,Jan,5.913
LEWI,Jan,5.831
LEWI,Jan,5.734
LEWI,Jan,5.661
LEWI,Jan,5.571
LEWI,Jan,5.47
LEWI,Jan,5.38
LEWI,Jan,5.298
LEWI,Jan,5.215
LEWI,Jan,5.125
LEWI,Jan,5.055
LEWI,Jan,5.007
LEWI,Jan,4.96
LEWI,Jan,4.908
LEWI,Jan,4.853
LEWI,Jan,4.796
LEWI,Jan,4.727
LEWI,Jan,4.668
LEWI,Jan,4.634
LEWI,Jan,4.651
LEWI,Jan,4.724
LEWI,Jan,4.825
LEWI,Jan,4.987
LEWI,Jan,5.211
LEWI,Jan,5.464
LEWI,Jan,5.712
LEWI,Jan,5.944
LEWI,Jan,6.25
LEWI,Jan,6.569
LEWI,Jan,6.802
LEWI,Jan,7.052
LEWI,Jan,7.249
LEWI,Jan,7.411
LEWI,Jan,7.479
LEWI,Jan,7.524
LEWI,Jan,7.588
LEWI,Jan,7.41
LEWI,Jan,7.391
LEWI,Jan,7.289
LEWI,Jan,7.142
LEWI,Jan,7.113
LEWI,Jan,7.085
LEWI,Jan,7.058
LEWI,Jan,7.003
LEWI,Jan,6.91
LEWI,Jan,6.792
LEWI,Jan,6.669
LEWI,Jan,6.534
LEWI,Jan,6.391
LEWI,Jan,6.253
LEWI,Jan,6.12
LEWI,Jan,5.98
LEWI,Jan,5.846
LEWI,Jan,5.714
LEWI,Jan,5.606
LEWI,Jan,5.489
LEWI,Jan,5.376
LEWI,Jan,5.278
LEWI,Jan,5.17
LEWI,Jan,5.081
LEWI,Jan,4.986
LEWI,Jan,4.894
LEWI,Jan,4.808
LEWI,Jan,4.727
LEWI,Jan,4.651
LEWI,Jan,4.584
LEWI,Jan,4.527
LEWI,Jan,4.525
LEWI,Jan,4.594
LEWI,Jan,4.728
LEWI,Jan,4.892
LEWI,Jan,5.092
LEWI,Jan,5.345
LEWI,Jan,5.264
LEWI,Jan,5.477
LEWI,Jan,5.734
LEWI,Jan,6.047
LEWI,Jan,6.41
LEWI,Jan,6.624
LEWI,Jan,6.824
LEWI,Jan,6.984
LEWI,Jan,7.074
LEWI,Jan,7.154
LEWI,Jan,7.235
LEWI,Jan,7.284
LEWI,Jan,7.311
LEWI,Jan,7.346
LEWI,Jan,7.381
LEWI,Jan,7.402
LEWI,Jan,7.417
LEWI,Jan,7.45
LEWI,Jan,7.485
LEWI,Jan,7.514
LEWI,Jan,7.516
LEWI,Jan,7.29
LEWI,Jan,7.34
LEWI,Jan,7.226
LEWI,Jan,7.198
LEWI,Jan,7.308
LEWI,Jan,7.407
LEWI,Jan,7.471
LEWI,Jan,7.527
LEWI,Jan,7.565
LEWI,Jan,7.586
LEWI,Jan,7.606
LEWI,Jan,7.603
LEWI,Jan,7.61
LEWI,Jan,7.627
LEWI,Jan,7.609
LEWI,Jan,7.555
LEWI,Jan,7.496
LEWI,Jan,7.448
LEWI,Jan,7.424
LEWI,Jan,7.422
LEWI,Jan,7.418
LEWI,Jan,7.433
LEWI,Jan,7.484
LEWI,Jan,7.582
LEWI,Jan,7.702
LEWI,Jan,7.893
LEWI,Jan,8.096
LEWI,Jan,8.28
LEWI,Jan,8.45
LEWI,Jan,8.578
LEWI,Jan,8.652
LEWI,Jan,8.744
LEWI,Jan,8.839
LEWI,Jan,8.971
LEWI,Jan,9.08
LEWI,Jan,9.211
LEWI,Jan,9.297
LEWI,Jan,9.231
LEWI,Jan,9.079
LEWI,Jan,9.016
LEWI,Jan,8.828
LEWI,Jan,8.859
LEWI,Jan,9.042
LEWI,Jan,9.205
LEWI,Jan,9.284
LEWI,Jan,9.342
LEWI,Jan,9.396
LEWI,Jan,9.421
LEWI,Jan,9.443
LEWI,Jan,9.459
LEWI,Jan,9.489
LEWI,Jan,9.513
LEWI,Jan,9.522
LEWI,Jan,9.539
LEWI,Jan,9.562
LEWI,Jan,9.569
LEWI,Jan,9.571
LEWI,Jan,9.571
LEWI,Jan,9.563
LEWI,Jan,9.559
LEWI,Jan,9.556
LEWI,Jan,9.562
LEWI,Jan,9.554
LEWI,Jan,9.519
LEWI,Jan,9.45
LEWI,Jan,9.338
LEWI,Jan,9.278
LEWI,Jan,9.203
LEWI,Jan,9.107
LEWI,Jan,9.031
LEWI,Jan,8.96
LEWI,Jan,8.877
LEWI,Jan,8.837
LEWI,Jan,8.845
LEWI,Jan,8.84
LEWI,Jan,8.733
LEWI,Jan,8.908
LEWI,Jan,9.009
LEWI,Jan,9.149
LEWI,Jan,9.305
